City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,San-Pedro,CI,77.65,light rain,4.7485,-6.6363,Hotel Maria
305,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
308,Miraflores,MX,78.98,clear sky,19.2167,-98.8083,Hotel Mansión
310,Itarema,BR,78.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
313,Labuhan,ID,79.21,overcast clouds,-6.8844,112.2051,DoubleFAG
315,Lazaro Cardenas,MX,83.28,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
326,Nieuw Nickerie,SR,80.78,overcast clouds,5.95,-56.9833,Ishwardat Inn
328,La Palma,US,76.19,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
333,Wanning,CN,75.36,scattered clouds,18.8003,110.3967,Paradise Hotel
334,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Central
341,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
353,Sao Felix Do Xingu,BR,75.49,moderate rain,-6.6447,-51.995,Rio Xingu Camping
359,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
360,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
362,Mareeba,AU,75.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
375,Dingle,PH,75.56,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
376,Puerto Ayacucho,VE,84.67,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
379,Charagua,BO,85.57,overcast clouds,-19.8,-63.2167,Hotel
380,Kattivakkam,IN,77.09,few clouds,13.2167,80.3167,Euronova Freezer
384,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
392,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
393,Keti Bandar,PK,76.44,clear sky,24.1447,67.4497,Haji laloo memon house
396,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
398,Oriximina,BR,91.24,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
400,Lethem,GY,86.63,overcast clouds,3.3803,-59.7968,Savannah Inn
