City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Chokurdakh,RU,70.6333,147.9167,-35.61,100,51,1.43,broken clouds
132,Terrace Bay,CA,48.7834,-87.1,28.24,66,73,10.16,broken clouds
133,Yola,NG,9.2,12.4833,79.97,30,50,2.57,scattered clouds
134,Provideniya,RU,64.3833,-173.3,32.11,80,100,33.55,overcast clouds
135,Lagoa,PT,39.05,-27.9833,64.02,90,9,25.08,clear sky
136,Beringovskiy,RU,63.05,179.3167,38.1,95,100,28.5,moderate rain
137,Yulara,AU,-25.2406,130.9889,67.89,57,100,12.93,light rain
138,Great Bend,US,38.3645,-98.7648,40.6,61,0,11.5,clear sky
139,Maniitsoq,GL,65.4167,-52.9,22.01,87,100,11.03,light snow
140,Zyryanskoye,RU,56.8306,86.6258,33.85,97,100,12.41,overcast clouds
141,Gravelbourg,CA,49.8834,-106.5512,21.47,89,100,3.76,overcast clouds
142,Pangody,RU,65.85,74.4859,-14.58,95,12,6.33,few clouds
143,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,0,11.5,clear sky
144,Hambantota,LK,6.1241,81.1185,77.07,86,100,6.73,overcast clouds
145,Veraval,IN,20.9,70.3667,76.69,52,0,6.24,clear sky
146,Pietrosani,RO,45.1833,24.85,41.81,75,56,2.06,broken clouds
147,Kendari,ID,-3.945,122.4989,74.66,94,100,4.36,overcast clouds
148,Puerto Escondido,MX,15.85,-97.0667,84.79,68,12,5.66,few clouds
149,Hay River,CA,60.8156,-115.7999,24.78,74,40,23.02,scattered clouds
150,Glendive,US,47.1053,-104.7125,17.22,79,20,3.44,few clouds
151,Kavieng,PG,-2.5744,150.7967,82.09,70,99,11.72,overcast clouds
152,Georgetown,MY,5.4112,100.3354,81.23,89,20,2.3,few clouds
153,Sao Filipe,CV,14.8961,-24.4956,75.96,72,67,6.69,broken clouds
154,Narsaq,GL,60.9167,-46.05,30.42,96,100,3.74,light snow
155,Constitucion,CL,-35.3333,-72.4167,65.53,64,7,16.96,clear sky
156,Ouesso,CG,1.6136,16.0517,71.1,97,96,1.54,light rain
157,Rezina,MD,47.7492,28.9622,41.38,88,55,7.07,broken clouds
158,Narsipatnam,IN,17.6667,82.6167,64.83,63,0,3.53,clear sky
159,De-Kastri,RU,51.4667,140.7833,14.22,93,11,5.06,few clouds
160,Port Alfred,ZA,-33.5906,26.891,62.19,89,76,5.01,broken clouds
161,Isla Mujeres,MX,21.2311,-86.731,84.16,76,10,9.1,light rain
162,Hilo,US,19.7297,-155.09,82.26,70,0,6.91,clear sky
163,Kelso,US,46.1468,-122.9084,58.39,64,4,1.99,clear sky
